id,condition,sentiment,uncertainty,resolution,first_sentence,second_sentence,
1,PosHghNoUnc,positive,low,low,Leo a commandé un écran sur Amazon.,Il reçoit son colis après 2 jours ouvrables comme prévu.,
2,PosHghNoUnc,positive,low,low,Jade se balade avec une amie.,Elles parlent de leur journée.,
3,PosHghNoUnc,positive,low,low,Sam est sur Tinder.,Il croise des profils différents et décide s'il souhaite les 'matcher'.,
4,PosHghNoUnc,positive,low,low,"Dernièrement, John suit un régime alimentaire et il fait beaucoup de sport.",Il se sent en meilleure santé et il a perdu 3 kg.,
5,PosHghNoUnc,positive,low,low,Lisa a travaillé assidûment pour sa thèse de master.,Elle a eu une très bonne note: 85%!.,
6,PosHghNoUnc,positive,low,low,Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.,Ils discutent de tout et de rien.,
7,PosHghNoUnc,positive,low,low,Mara a bientôt un examen de la plus haute importance.,Elle passe toutes ses journées à la bibliothèque.,
8,PosHghNoUnc,positive,low,low,Matt a une copine.,Il lui fait beaucoup de cadeaux.,
9,PosHghNoUnc,positive,low,low,Aaron adore la musique de Louisa King.,Il écoute ses chansons chaque matin en allant au travail.,
10,PosHghNoUnc,positive,low,low,Kevin est un fervent supporteur de l'équipe nationale de football.,Il regarde tous les matchs et connaît les particularités de chaque joueur.,
11,PosHghRes,positive,high,high,Quelqu'un toque à la porte de Pierre et dépose un colis inattendu.,Pierre ouvre le colis et découvre un parfum offert par sa copine Sara.,
12,PosHghRes,positive,high,high,Maja marche avec un ami lorsqu'il sort un cadeau de son sac.,Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.,
13,PosHghRes,positive,high,high,Lukas a un nouveau 'match' sur Tinder.,Il ouvre l'application et découvre que c'est la jolie fille qu'il avait 'superliké' plus tôt dans la journée.,
14,PosHghRes,positive,high,high,"Justin suit un régime alimentaire et il fait beaucoup de course à pied. Pour savoir s'il a perdu du poids, il monte sur la balance.",Il monte sur la balance et après quelques secondes le verdict tombe: il a perdu 4 Kg!,
15,PosHghRes,positive,high,high,Sara a travaillé assidument pour la thèse qu'elle a rendu le mois passé. Elle espère avoir une bonne note.,En arrivant en classe son professeur la congratule immédiatement car sa thèse était excellente: Sara a obtenu un 90%!.,
16,PosHghRes,positive,high,high,Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée il y a quelques semaines. Mario est gêné car il ne se rappelle plus du prénom de la fille.,L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.,
17,PosHghRes,positive,high,high,Quelqu'un a dit à Cynthia que l'examen de physique quantique qu'elle redoutait a été annulé.,Elle envoie un e-mail à son professeur en lui demandant si c'est bien le cas. Ce dernier lui confirme que l'examen a été supprimé.,
18,PosHghRes,positive,high,high,Albert se dirige à un 'blind-date' que son meilleur ami lui a organisé. À ce qu'il paraît la fille qu'il va rencontrer est magnifique.,"Lorsque Albert la voit arriver, il est immédiatement sous le charme.",
19,PosHghRes,positive,high,high,Julien est un fan inconditionnel de la chanteuse Sandra Miller. Ses amis lui ont acheté un ticket backstage pour qu'il puisse la rencontrer. Julien a hâte mais il a peur d'être gêné en la voyant.,"Quand Julien rencontre Sandra Miller, il pète un plomb et fond en larmes. Heureusement pour lui, elle prend le temps de le rassurer et passe une dizaine de minutes avec lui.",
20,PosHghRes,positive,high,high,"Bob regarde une finale de Coupe du Monde, son équipe préférée a des chances de gagner!","Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin Championne du Monde!",
21,PosHghNoRes,positive,high,low,Une personne toque à la porte de Jim et dépose un colis inattendu.,"Jim ouvre sa porte curieux, mais en prenant le colis entre ses mains il réalise qu'il est destiné à son voisin.",
