Unnamed: 0,stimulus,first,second,groupUnc,groupRes,groupVal,valence_1,arousal_1,uncertainty_1,valence_2,arousal_2,uncertainty_2,resolution,surprise
0,<p id = 'frst'>Il est 4 heures du matin et John est sur le point de s'endormir lorsqu'il entend des coups de feu.</p><p id = 'scnd'>Il sursaute de son lit et regarde par sa fenêtre.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Il est 4 heures du matin et John est sur le point de s'endormir lorsqu'il entend des coups de feu.,Il sursaute de son lit et regarde par sa fenêtre.,high unc conditions,low res conditions,neg conditions,-0.7,0.8,0.5,-0.3,0.9,0.2,-0.4,0.8
1,"<p id = 'frst'>Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.</p><p id = 'scnd'>Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se gratter les paupières qu'il voit <br> son voisin étendu à terre, inerte.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.,"Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se gratter les paupières qu'il voit son voisin étendu à terre, inerte.",high unc conditions,high res conditions,neg conditions,-0.8,0.9,0.7,-0.9,0.85,0.5,-0.3,0.8
2,<p id = 'frst'>Andy est à son restaurant préféré et à son habitude il commande 'La Surprise du Chef' comme plat principal. <br> Il s'agit d'une préparation dans laquelle le chef choisit les ingrédients qu'il souhaite travailler. <br> Andy espère qu'il va aimer.</p><p id = 'scnd'>Un parfum incroyable se dégage du plat surprise. Andy se régale.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Andy est à son restaurant préféré et à son habitude il commande 'La Surprise du Chef' comme plat principal. Il s'agit d'une préparation dans laquelle le chef choisit les ingrédients qu'il souhaite travailler. Andy espère qu'il va aimer.,Un parfum incroyable se dégage du plat surprise. Andy se régale.,low unc conditions,high res conditions,pos conditions,0.3,0.2,0.6,0.9,0.8,-0.5,-0.7,0.5
3,<p id = 'frst'>Mia se balade avec un ami lorsque soudain il sort un cadeau de son sac.</p><p id = 'scnd'>Son ami lui demande si elle aime le papier cadeau.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mia se balade avec un ami lorsque soudain il sort un cadeau de son sac.,Son ami lui demande si elle aime le papier cadeau.,high unc conditions,low res conditions,pos conditions,0.5,0.7,0.3,0.2,0.1,0.6,-0.4,0.8
4,"<p id = 'frst'>Bertrand a joué à la loterie en utilisant ses numéros favoris <br> pour tenter de gagner le jackpot de € 4 000 000.</p><p id = 'scnd'>Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Bertrand a joué à la loterie en utilisant ses numéros favoris pour tenter de gagner le jackpot de € 4 000 000.,"Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal.",low unc conditions,low res conditions,pos conditions,0.7,0.6,0.8,-0.3,0.4,0.5,-0.2,0.3
5,<p id = 'frst'>Léonard a envie de manger un bon plat ce soir.</p><p id = 'scnd'>Il va à son restaurant préféré.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Léonard a envie de manger un bon plat ce soir.,Il va à son restaurant préféré.,no unc conditions,,pos conditions,0.7,0.5,-0.3,0.6,0.4,-0.5,-0.4,-0.2
6,<p id = 'frst'>Quelqu'un toque à la porte de Pierre et dépose un colis inattendu.</p><p id = 'scnd'>Pierre ouvre le colis et découvre un parfum offert par sa copine Sara.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Quelqu'un toque à la porte de Pierre et dépose un colis inattendu.,Pierre ouvre le colis et découvre un parfum offert par sa copine Sara.,high unc conditions,high res conditions,pos conditions,0.2,0.5,0.7,0.8,0.6,-0.3,-0.5,0.6
7,<p id = 'frst'>Lena doit retirer de l'argent.</p><p id = 'scnd'>Elle se rend à la banque près de chez elle.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lena doit retirer de l'argent.,Elle se rend à la banque près de chez elle.,no unc conditions,,neg conditions,0.0,0.2,0.3,0.1,0.3,-0.1,-0.4,-0.5
8,<p id = 'frst'>Bruno rentre chez lui.</p><p id = 'scnd'>Il prend son bus.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Bruno rentre chez lui.,Il prend son bus.,no unc conditions,,neg conditions,0.0,-0.3,-0.5,0.0,-0.2,-0.6,-0.4,-0.8
9,"<p id = 'frst'>Connor attend son métro en espérant qu'il ne sera pas trop rempli.</p><p id = 'scnd'>Le métro qui arrive en station déborde de gens, Connor arrive à s'y glisser avec difficulté mais il a du mal à respirer.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Connor attend son métro en espérant qu'il ne sera pas trop rempli.,"Le métro qui arrive en station déborde de gens, Connor arrive à s'y glisser avec difficulté mais il a du mal à respirer.",low unc conditions,high res conditions,neg conditions,-0.3,0.2,0.5,-0.8,0.9,-0.2,-0.6,0.4
